"depDate","queryDate","depCity","arrCity","dep_time","arrDate","arr_time","dep_port","arr_port","aircompany","flight","plane","flight_actual","stopby","acurate","food","price","Discount","transfer"
2016-03-14,2015-03-14,"北京","广州","07:15","2016-03-14","10:35","首都机场","白云机场","海航","海航HU7807","空客330(宽)",NA,NA,"93%","有餐食",1895,"全价","无"
2016-03-14,2015-03-14,"北京","广州","07:20","2016-03-14","10:40","首都机场","白云机场","东航","东航MU5181","空客330(宽)",NA,NA,"94%","有餐食",1180,"6.2折","无"
2016-03-14,2015-03-14,"北京","广州","08:30","2016-03-14","11:45","首都机场","白云机场","厦航","厦航MF1010","空客321(中)","南航CZ3108",NA,"90%","有餐食",1789,"9.4折","无"
2016-03-14,2015-03-14,"北京","广州","08:30","2016-03-14","11:45","首都机场","白云机场","南航","南航CZ3108","空客321(中)",NA,NA,"90%","有餐食",1810,"9.5折","无"
2016-03-14,2015-03-14,"北京","广州","08:30","2016-03-14","11:45","首都机场","白云机场","东航","东航MU3035","空客321(中)","南航CZ3108",NA,"90%","有餐食",1814,"9.5折","无"
2016-03-14,2015-03-14,"北京","广州","08:50","2016-03-14","12:10","南苑机场","白云机场","联航","联航KN5815","波音737(中)",NA,NA,"94%",NA,1096,"5.7折","无"
2016-03-14,2015-03-14,"北京","广州","08:50","2016-03-14","12:10","南苑机场","白云机场","东航","东航MU3781","波音737(中)","联航KN5815",NA,"94%",NA,1314,"6.9折","无"
2016-03-14,2015-03-14,"北京","广州","09:05","2016-03-14","12:20","首都机场","白云机场","海航","海航HU7805","空客330(宽)",NA,NA,"84%","有餐食",1097,"5.7折","无"
2016-03-14,2015-03-14,"北京","广州","09:30","2016-03-14","12:50","首都机场","白云机场","厦航","厦航MF1000","空客380(大)","南航CZ3000",NA,"89%","有餐食",1775,"9.3折","无"
2016-03-14,2015-03-14,"北京","广州","09:30","2016-03-14","12:50","首都机场","白云机场","南航","南航CZ3000","空客380(大)",NA,NA,"89%","有餐食",1810,"9.5折","无"
2016-03-14,2015-03-14,"北京","广州","09:30","2016-03-14","12:50","首都机场","白云机场","东航","东航MU3019","空客380(大)","南航CZ3000",NA,"89%","有餐食",1814,"9.5折","无"
2016-03-14,2015-03-14,"北京","广州","09:40","2016-03-14","13:00","南苑机场","白云机场","联航","联航KN5817","其他机型",NA,NA,"82%",NA,1084,"5.7折","无"
2016-03-14,2015-03-14,"北京","广州","09:40","2016-03-14","13:00","南苑机场","白云机场","东航","东航MU3783","其他机型","联航KN5817",NA,"82%",NA,1314,"6.9折","无"
2016-03-14,2015-03-14,"北京","广州","10:30","2016-03-14","13:45","首都机场","白云机场","厦航","厦航MF1014","空客330(宽)","南航CZ3112",NA,"87%","有餐食",1789,"9.4折","无"
